12412
Una Himachal,05:05,05:05,16-11-2022,16-11-2022
Nangal Dam,05:22,05:28,16-11-2022,16-11-2022
Anandpur Sahib,05:42,05:44,16-11-2022,16-11-2022
Kiratpur Sahib,05:52,05:54,16-11-2022,16-11-2022
Rupnagar,06:13,06:15,16-11-2022,16-11-2022
Morinda Jn,06:40,06:42,16-11-2022,16-11-2022
Kharar,06:57,06:59,16-11-2022,16-11-2022
Sahibzada Ajitsingh Nagar(Mohali),07:16,07:18,16-11-2022,16-11-2022
Chandigarh,07:33,07:43,16-11-2022,16-11-2022
Ambala Cant Jn (RL),08:32,08:45,16-11-2022,16-11-2022
Kurukshetra Jn,09:14,09:16,16-11-2022,16-11-2022
Karnal (RL),09:38,09:40,16-11-2022,16-11-2022
Panipat Jn,10:02,10:04,16-11-2022,16-11-2022
Bhodwal Majri,10:22,10:24,16-11-2022,16-11-2022
Sonipat Jn,10:32,10:34,16-11-2022,16-11-2022
Sabzi Mandi,11:05,11:07,16-11-2022,16-11-2022
New Delhi,11:45,11:45,16-11-2022,16-11-2022
#
12012
Kalka,17:45,17:45,16-11-2022,16-11-2022
Chandigarh,18:15,18:23,16-11-2022,16-11-2022
Ambala Cant Jn,19:03,19:08,16-11-2022,16-11-2022
Kurukshetra Jn,19:38,19:40,16-11-2022,16-11-2022
Panipat Jn,20:22,20:24,16-11-2022,16-11-2022
New Delhi,21:50,21:50,16-11-2022,16-11-2022
#
22692
New Delhi,19:50,19:50,16-11-2022,16-11-2022	
Agra Cantt,21:45,21:47,16-11-2022,16-11-2022
Gwalior Jn,23:08,23:10,16-11-2022,16-11-2022	
Virangana Lakshmibai(Jhanshi),00:25,00:30,17-11-2022,17-11-2022	
Bhopal Jn,03:45,03:55,17-11-2022,17-11-2022	
Itarsi Jn,05:23,05:25,17-11-2022,17-11-2022	
Nagpur,09:25,09:30,17-11-2022,17-11-2022
Balharshah,12:15,12:20,17-11-2022,17-11-2022
Kazipet Jn,15:08,15:10,17-11-2022,17-11-2022	
Secunderabad Jn	SCR,17:10,17:25,17-11-2022,17-11-2022
Seram,19:29,19:30,17-11-2022,17-11-2022
Raichur,21:38,21:40,17-11-2022,17-11-2022
Guntakal Jn,23:30,23:35,17-11-2022,17-11-2022
Sri Sathya Sai Prasanti Nilayam,02:03,02:05,18-11-2022,18-11-2022
Bengaluru,05:20,05:20,18-11-2022,18-11-2022
#
19412
Daulatpur Chowk,14:25,14:25,16-11-2022,16-11-2022	
Amb Andaura,14:38,14:40,16-11-2022,16-11-2022	
Una Himachal,15:02,15:04,16-11-2022,16-11-2022	
Nangal Dam,15:25,15:35,16-11-2022,16-11-2022	
Anandpur Sahib,15:49,15:51,16-11-2022,16-11-2022		
Roop Nagar,16:16,16:18,16-11-2022,16-11-2022	
Morinda,16:43,16:45,16-11-2022,16-11-2022		
Sahibzada Ajitsingh Nagar(Mohali),17:20,17:22,16-11-2022,16-11-2022		
Chandigarh,17:43,17:55,16-11-2022,16-11-2022		
Ambala Cantt,18:40,18:45,16-11-2022,16-11-2022	
Kurukshetra,19:28,19:54,16-11-2022,16-11-2022	
Kaithal,20:45,20:47,16-11-2022,16-11-2022	
Narwana Jn,21:48,21:50,16-11-2022,16-11-2022		
Uchana,22:02,22:04,16-11-2022,16-11-2022	
Jind,22:21,22:24,16-11-2022,16-11-2022	
Julana,22:41,22:43,16-11-2022,16-11-2022	
Rohtak,23:14,23:18,16-11-2022,16-11-2022		
Jhajjar,23:50,23:52,16-11-2022,16-11-2022		
Rewari,00:55,01:00,17-11-2022,17-11-2022
Khairthal,01:40,01:42,17-11-2022,17-11-2022
Alwar,02:04,02:07,17-11-2022,17-11-2022
Rajgarh,02:32,02:34,17-11-2022,17-11-2022	
Bandikui,02:57,02:59,17-11-2022,17-11-2022	
Dausa,03:18,03:20,17-11-2022,17-11-2022	
Gandhinagar Jaipur,03:58,04:01,17-11-2022,17-11-2022	
Jaipur,04:20,04:30,17-11-2022,17-11-2022	
Phulera Jn,05:12,05:14,17-11-2022,17-11-2022	
Kishangarh,05:53,05:55,17-11-2022,17-11-2022
Ajmer Jn,06:45,06:55,17-11-2022,17-11-2022
Beawar,07:38,07:40,17-11-2022,17-11-2022	
Marwar Jn,08:50,08:55,17-11-2022,17-11-2022	
Rani,09:31,09:33,17-11-2022,17-11-2022
Falna,09:48,09:50,17-11-2022,17-11-2022
Nana,10:18,10:20,17-11-2022,17-11-2022	
Pindwara,10:35,10:37,17-11-2022,17-11-2022
Swarupganj,10:52,10:54,17-11-2022,17-11-2022	
Abu Road (RL),11:20,11:30,17-11-2022,17-11-2022
Palanpur Jn,12:30,12:32,17-11-2022,17-11-2022
Siddhapur,13:00,13:02,17-11-2022,17-11-2022
Unjha,13:15,13:17,17-11-2022,17-11-2022	
Mahesana Jn,13:40,13:42,17-11-2022,17-11-2022	
Sabarmati,15:00,15:00,17-11-2022,17-11-2022
#
12046
Chandigarh,12:05,12:05,16-11-2022,16-11-2022
Ambala Cant Jn (RL),12:43,12:47,16-11-2022,16-11-2022  
Karnal (RL),13:35,13:37,16-11-2022,16-11-2022 
New Delhi,15:20,15:20,16-11-2022,16-11-2022 
#
*


